UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0772894C,UNIVERSITE GUSTAVE EIFFEL,1 *,,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,Professeur-e en sociologie de l'innovation et du numérique,Champs-sur-Marne,
0811293R,INSTITUT NATIONAL UNIV. D'ALBI,4159,,46-1,PR,Non,19,,,01/10/2020,25/02/2020,26/03/2020,Sociologie des organisations et des administrationsSociologie de l'action publique,ALBI,
0870669E,UNIVERSITE DE LIMOGES,4335 *,0628,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,Sociologie générale,LIMOGES,
0940607Z,ENS PARIS-SACLAY,4147 *,U1900PR0119,46-1,PR,Non,19,,,01/09/2020,25/02/2020,26/03/2020,Sociologie,GIF-SUR-YVETTE,
0341089Z,UNIVERSITE MONTPELLIER 3 (PAUL VALERY),4289 *,021,46-1,PR,Non,20,,,01/09/2020,25/02/2020,26/03/2020,Ethnologie générale et anthropologie de l environnement,Montpellier,
0660437S,UNIVERSITE DE PERPIGNAN (VIA DOMITIA),4220 *,,46-1,PR,Non,20,,,01/09/2020,25/02/2020,26/03/2020,PR CNU 20 - Paléolithique et du Mésolithique,UPVD et CERP Tautavel,
0691775E,UNIVERSITE LYON 2 (LUMIERE),4425 *,,46-1,PR,Non,20,,,01/09/2020,25/02/2020,26/03/2020,"Anthropologie générale, Médiations, Environnements urbains, ethnographie et numérique",Bron,
0921204J,UNIVERSITE PARIS 10 (NANTERRE),4614 *,1459,46-1,PR,Non,20,,,01/09/2020,25/02/2020,26/03/2020,Professeur capable d¿enseigner des cours d'anthropologie générale avec recherches reconnues internationalement,NANTERRE,
9730429D,UNIVERSITE DE LA GUYANE,123 *,,46-1,PR,Non,20,,,01/09/2020,25/02/2020,26/03/2020,Professeur des Universités en anthropologie,Cayenne,
0134009M,UNIVERSITE AIX-MARSEILLE,898 *,51490,46-1,PR,Non,21,,,01/09/2020,25/02/2020,26/03/2020,Histoire grecque,Aix Marseille,
