"Rentrée";"Code.section";"Section";"Groupe";"Discipline";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2019";"30";"30-Milieux dilués et optique";"Physique";"Sciences";3;4;374;250;0,00480769230769231;0,0106951871657754
"2019";"31";"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";15;11;668;326;0,0150905432595573;0,0164670658682635
"2019";"32";"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";9;3;845;388;0,0072992700729927;0,00355029585798817
"2019";"33";"33-Chimie des matériaux";"Chimie";"Sciences";3;6;574;329;0,00332225913621262;0,0104529616724739
"2019";"34";"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";4;4;116;69;0,0216216216216216;0,0344827586206897
"2019";"35";"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";9;8;330;179;0,0176817288801572;0,0242424242424242
"2019";"36";"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";0;2;268;125;0;0,00746268656716418
"2019";"37";"37-Météorologie, océanographie physique de l'environnement";"Sciences de la terre";"Sciences";1;1;132;59;0,00523560209424084;0,00757575757575758
"2019";"60";"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";51;25;1607;784;0,0213299874529486;0,015556938394524
"2019";"61";"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";33;20;1206;548;0,0188141391106043;0,0165837479270315
"2019";"62";"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";10;8;703;393;0,00912408759124088;0,0113798008534851
"2019";"63";"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";20;13;1117;571;0,0118483412322275;0,0116383169203223
"2019";"64";"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";21;12;773;296;0,019644527595884;0,0155239327296248
"2019";"65";"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";13;5;752;274;0,0126705653021442;0,00664893617021277
"2019";"66";"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";4;6;544;197;0,00539811066126856;0,0110294117647059
"2019";"67";"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";8;3;499;195;0,0115273775216138;0,00601202404809619
"2019";"68";"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";4;3;344;153;0,00804828973843058;0,00872093023255814
"2019";"69";"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";8;4;287;118;0,0197530864197531;0,0139372822299652
"2019";"70";"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";34;15;504;173;0,0502215657311669;0,0297619047619048
"2019";"71";"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";25;9;613;170;0,0319284802043423;0,0146818923327896
"2019";"72";"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1;1;66;22;0,0113636363636364;0,0151515151515152
"2019";"73";"73-Cultures et langues régionales";"Groupe pluridisciplinaire";"Lettres et sciences humaines";2;1;34;22;0,0357142857142857;0,0294117647058824
"2019";"74";"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";46;7;642;166;0,0569306930693069;0,0109034267912773
"2019";"76";"76-Théologie catholique";"Théologie";"Lettres et sciences humaines";0;1;17;13;0;0,0588235294117647
"2019";"85";"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";13;4;323;110;0,0300230946882217;0,0123839009287926
"2019";"86";"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";9;7;389;180;0,015817223198594;0,0179948586118252
"2019";"87";"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";1;3;300;95;0,00253164556962025;0,01
"2020";"1";"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";53;30;1219;600;0,0291368884002199;0,0246103363412633
"2020";"2";"2-Droit public";"Droit et science politique";"Droit, économie et gestion";40;15;813;483;0,0308641975308642;0,018450184501845
"2020";"3";"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";5;1;148;109;0,0194552529182879;0,00675675675675676
"2020";"4";"4-Science politique";"Droit et science politique";"Droit, économie et gestion";15;5;262;130;0,038265306122449;0,0190839694656489
"2020";"5";"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";43;25;1185;547;0,0248267898383372;0,0210970464135021
"2020";"6";"6-Sciences de gestion";"Sciences économiques et de gestion";"Droit, économie et gestion";79;20;1627;484;0,0374230222643297;0,0122925629993854
"2020";"7";"7-Sciences du langage : linguistique et phonétique générales";"Langues et littératures";"Lettres et sciences humaines";26;18;531;240;0,0337224383916991;0,0338983050847458
"2020";"8";"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";7;4;189;102;0,0240549828178694;0,0211640211640212
"2020";"9";"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";24;27;603;320;0,0260021668472373;0,0447761194029851
"2020";"10";"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";5;0;123;85;0,0240384615384615;0
"2020";"11";"11-Langues et littératures anglaises et anglo-saxonnes";"Langues et littératures";"Lettres et sciences humaines";53;21;1293;388;0,0315288518738846;0,0162412993039443
"2020";"12";"12-Langues et littératures germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";6;2;294;93;0,0155038759689922;0,00680272108843537
"2020";"13";"13-Langues et littératures slaves";"Langues et littératures";"Lettres et sciences humaines";4;2;91;34;0,032;0,021978021978022
"2020";"14";"14-Langues et littératures romanes : espagnol, italien, portugais, autres langues romanes";"Langues et littératures";"Lettres et sciences humaines";18;13;728;238;0,0186335403726708;0,0178571428571429
"2020";"15";"15-Langues et littératures arabes, chinoises, japonaises, hébraique, d'autres domaines linguistiques";"Langues et littératures";"Lettres et sciences humaines";15;12;281;108;0,038560411311054;0,0427046263345196
"2020";"16";"16-Psychologie, psychologie clinique, psychologie sociale";"Sciences humaines";"Lettres et sciences humaines";46;18;963;397;0,0338235294117647;0,0186915887850467
"2020";"17";"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";18;12;224;160;0,046875;0,0535714285714286
"2020";"18";"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";29;12;514;204;0,0403899721448468;0,0233463035019455
"2020";"19";"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";26;14;627;246;0,0297823596792669;0,0223285486443381
"2020";"20";"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";5;5;133;71;0,0245098039215686;0,037593984962406
"2020";"21";"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";14;13;489;256;0,0187919463087248;0,0265848670756646
"2020";"22";"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";32;21;663;392;0,0303317535545024;0,0316742081447964
"2020";"23";"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";24;12;587;265;0,028169014084507;0,020442930153322
"2020";"24";"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";2;2;164;99;0,00760456273764259;0,0121951219512195
"2020";"25";"25-Mathématiques";"Mathématiques et informatique";"Sciences";25;9;823;498;0,0189250567751703;0,0109356014580802
"2020";"26";"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";41;20;1147;629;0,0230855855855856;0,01743679163034
"2020";"27";"27-Informatique";"Mathématiques et informatique";"Sciences";71;41;2403;968;0,0210619994067042;0,0170620058260508
"2020";"28";"28-Milieux denses et matériaux";"Physique";"Sciences";15;19;858;490;0,0111275964391691;0,0221445221445221
"2020";"29";"29-Constituants élémentaires";"Physique";"Sciences";4;6;221;175;0,0101010101010101;0,0271493212669683
"2020";"30";"30-Milieux dilués et optique";"Physique";"Sciences";3;3;374;250;0,00480769230769231;0,00802139037433155
"2020";"31";"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";12;13;668;326;0,0120724346076459;0,0194610778443114
"2020";"32";"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";9;5;845;388;0,0072992700729927;0,00591715976331361
"2020";"33";"33-Chimie des matériaux";"Chimie";"Sciences";10;6;574;329;0,0110741971207087;0,0104529616724739
"2020";"34";"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";0;1;116;69;0;0,00862068965517241
"2020";"35";"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";18;7;330;179;0,0353634577603143;0,0212121212121212
"2020";"36";"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";4;4;268;125;0,0101781170483461;0,0149253731343284
"2020";"37";"37-Météorologie, océanographie physique de l'environnement";"Sciences de la terre";"Sciences";1;6;132;59;0,00523560209424084;0,0454545454545455
"2020";"60";"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";39;33;1607;784;0,0163111668757842;0,0205351586807716
"2020";"61";"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";33;16;1206;548;0,0188141391106043;0,0132669983416252
"2020";"62";"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";15;12;703;393;0,0136861313868613;0,0170697012802276
"2020";"63";"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";28;22;1117;571;0,0165876777251185;0,0196956132497762
"2020";"64";"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";24;13;773;296;0,0224508886810103;0,0168175937904269
"2020";"65";"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";21;10;752;274;0,0204678362573099;0,0132978723404255
"2020";"66";"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";6;2;544;197;0,00809716599190283;0,00367647058823529
"2020";"67";"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";12;4;499;195;0,0172910662824208;0,00801603206412826
"2020";"68";"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";1;4;344;153;0,00201207243460765;0,0116279069767442
"2020";"69";"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";4;3;287;118;0,00987654320987654;0,0104529616724739
"2020";"70";"70-Sciences de l'éducation";"Groupe pluridisciplinaire";"Lettres et sciences humaines";30;17;504;173;0,0443131462333826;0,0337301587301587
"2020";"71";"71-Sciences de l'information et de la communication";"Groupe pluridisciplinaire";"Lettres et sciences humaines";28;9;613;170;0,0357598978288633;0,0146818923327896
"2020";"72";"72-Epistémologie, histoire des sciences et des techniques";"Groupe pluridisciplinaire";"Lettres et sciences humaines";2;1;66;22;0,0227272727272727;0,0151515151515152
"2020";"73";"73-Cultures et langues régionales";"Groupe pluridisciplinaire";"Lettres et sciences humaines";1;2;34;22;0,0178571428571429;0,0588235294117647
"2020";"74";"74-Sciences et techniques des activités physiques et sportives";"Groupe pluridisciplinaire";"Lettres et sciences humaines";40;13;642;166;0,0495049504950495;0,0202492211838006
"2020";"85";"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";3;4;323;110;0,0069284064665127;0,0123839009287926
"2020";"86";"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";17;4;389;180;0,0298769771528998;0,0102827763496144
"2020";"87";"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";11;6;300;95;0,0278481012658228;0,02
