"UAI","Etablissement","Référence GALAXIE","N° dans le SI local","Article","Corps","Chaire","Section","Section2","Section3","Date de prise de fonction","Date ouverture cand","Date clôture cand","Profil","Localisation","Etat de vacance"
"0860856N","UNIVERSITE DE POITIERS","4545 * ","","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Migrations internationales et methodes de l analyse spatiale.","Poitiers",""
"0921204J","UNIVERSITE PARIS 10 (NANTERRE)","4478 * ","931","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Géographie culturelle / Mondes anglophones/ Anglais","NANTERRE",""
"0931827F","UNIVERSITE PARIS 8","4424 * ","","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","GÉOGRAPHIE DE L'ENVIRONNEMENT","2 rue de la Liberte-SAINT DENIS",""
"0941111X","UNIVERSITE PARIS EST CRETEIL (PARIS 12","4564 * ","1531","26-I-1","MCF","Non","23","","","01/09/2018","22/02/2018","29/03/2018","Géographie sociale, approches de terrain, préparations aux concours","Creteil, Campus centre",""
"0951793H","UNIVERSITE DE CERGY-PONTOISE","4359 * ","","26-I-1","MCF","Non","23","24","","01/09/2018","22/02/2018","29/03/2018","Transport de fret et de voyageurs, Economie des transports, Transport maritime ","CERGY",""
"0180974L","INSA CENTRE VAL DE LOIRE","60 * ","","26-I-1","MCF","Non","24","17","","01/09/2018","22/02/2018","29/03/2018","Domaine de l'histoire des villes et de la représentation urbaine des théories du paysage et de la philosophie des sciences humaines.","Ecole de la Nature et du Paysage","S"
"0290346U","UNIV. DE BRETAGNE OCCIDENTALE (BREST)","4340 * ","2400MCF0375","26-I-1","MCF","Non","24","","","01/09/2018","22/02/2018","29/03/2018","","Brest",""
"0383493R","UNIVERSITE GRENOBLE ALPES","281 * ","","26-I-1","MCF","Non","24","23","","01/09/2018","22/02/2018","29/03/2018","Dynamiques urbaines et développement territorial","Grenoble","S"
"0511296G","UNIVERSITE DE REIMS","4315 * ","24MCF","26-I-1","MCF","Non","24","","","01/09/2018","22/02/2018","29/03/2018","Urbanisme, aménagement, sciences de la durabilité, crises et mutations, projet urbain, ateliers, mutations territoriales, ateliers, environnement. ","REIMS",""
"0511296G","UNIVERSITE DE REIMS","4325 * ","24MCF1242","26-I-1","MCF","Non","24","","","01/09/2018","22/02/2018","29/03/2018","Maître de conférences en urbanisme (CNU 24).Ecologie urbaine, cartographie, aménagement du territoire.","CHALONS EN CHAMPAGNE",""
"0772502B","UNIVERSITE PARIS EST MARNE LA VALLEE","4179 * ","","26-I-1","MCF","Non","24","","","01/09/2018","22/02/2018","29/03/2018","Génie urbain et modélisations : transition numérique et systèmes techniques urbains ","CHAMPS SUR MARNE",""
"0134009M","UNIVERSITE AIX-MARSEILLE","682 * ","50021","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","Géométrie, Dynamique, Topologie","Marseille",""
"0141408E","UNIVERSITE DE CAEN","4390 * ","","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","MATHEMATIQUES FONDAMENTALES","CAEN",""
"0333298F","UNIVERSITE DE BORDEAUX","307","0082","33","MCF","Non","25","","","01/09/2018","06/02/2018","08/03/2018","Théorie des nombres, combinatoire additive et interactions","TALENCE","S"
"0333298F","UNIVERSITE DE BORDEAUX","308","0090","26-I-1","MCF","Non","25","26","","01/09/2018","06/02/2018","08/03/2018","Analyse des EDP pour la dynamique des populations","TALENCE","S"
"0342321N","UNIVERSITE DE MONTPELLIER","279 * ","0717","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","Mathématiques fondamentales","Montpellier",""
"0370800U","UNIVERSITE DE TOURS","4382","0331","26-I-1","MCF","Non","25","29","","01/09/2018","09/02/2018","12/03/2018","Physique théorique, physique mathématique, mathématiques","Tours",""
"0595964M","UNIVERSITE DU LITTORAL","4220 * ","0278","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","Algèbre, combinatoire","calais",""
"0597065J","UNIVERSITE DE LILLE","47 * ","","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","Géométrie - Topologie","VILLENEUVE D'ASCQ",""
"0751723R","UNIVERSITE PARIS 7 (DENIS DIDEROT)","4348","","26-I-1","MCF","Non","25","","","01/09/2018","05/02/2018","07/03/2018","Algèbre, topologie, géométrie. ","PARIS",""
"0751723R","UNIVERSITE PARIS 7 (DENIS DIDEROT)","4349","","26-I-1","MCF","Non","25","","","01/09/2018","05/02/2018","07/03/2018","Analyse Équations aux Dérivées Partielles. ","PARIS",""
"0751723R","UNIVERSITE PARIS 7 (DENIS DIDEROT)","4350","","26-I-1","MCF","Non","25","","","01/09/2018","05/02/2018","07/03/2018","Géométrie et Représentations. ","PARIS",""
"0751723R","UNIVERSITE PARIS 7 (DENIS DIDEROT)","4373","","26-I-1","MCF","Non","25","26","","01/09/2018","05/02/2018","07/03/2018","Probabilités et Interactions","PRG 75013",""
"0755890V","UNIVERSITE SORBONNE UNIVERSITE","11","0624","26-I-1","MCF","Non","25","","","01/09/2018","25/01/2018","26/02/2018","Mathématiques fondamentales et interactions","Campus Jussieu",""
"0755890V","UNIVERSITE SORBONNE UNIVERSITE","13","1536","26-I-1","MCF","Non","25","","","01/09/2018","25/01/2018","26/02/2018","Mathématiques fondamentales et interactions","Campus Jussieu",""
"0755890V","UNIVERSITE SORBONNE UNIVERSITE","15","2733","26-I-1","MCF","Non","25","26","","01/09/2018","25/01/2018","26/02/2018","Mathématiques fondamentales et interactions","Campus Jussieu",""
"0755890V","UNIVERSITE SORBONNE UNIVERSITE","64","3045","33","MCF","Non","25","","","01/09/2018","25/01/2018","26/02/2018","Analyse fonctionnelle, algèbres d'opérateur et espaces Lp non-commutatifs","Campus Jussieu","S"
"0830766G","UNIVERSITE DE TOULON (VAR)","4159 * ","4159","26-I-1","MCF","Non","25","27","","01/09/2018","22/02/2018","29/03/2018","Le.a candidat.e renforcera l¿équipe pédagogique du département informatique qui porte la formation d'ingénieur, 1 licence et 1 master à l'UFR Sciences.","La Garde 83",""
"0911101C","UNIVERSITE PARIS 11","4523 * ","","26-I-1","MCF","Non","25","26","","01/09/2018","22/02/2018","29/03/2018","Analyse, modélisation","Orsay",""
"0911101C","UNIVERSITE PARIS 11","4524 * ","","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","Algèbre, arithmétique, géométrie algébrique","Orsay",""
"0911101C","UNIVERSITE PARIS 11","4525 * ","","26-I-1","MCF","Non","25","","","01/09/2018","22/02/2018","29/03/2018","Topologie algébrique , théories homotopiques","Orsay",""
"0951793H","UNIVERSITE DE CERGY-PONTOISE","4356 * ","","26-I-1","MCF","Non","25","26","","01/09/2018","22/02/2018","29/03/2018","Maître de conférences en théorie des systèmes dynamiques.","CERGY",""
"0060931E","UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)","4535","2625 MCF ID 406","26-I-1","MCF","Non","26","25","","01/09/2018","01/02/2018","08/03/2018","Mathématiques et interactions","UFR SCIENCES",""
"0134009M","UNIVERSITE AIX-MARSEILLE","643 * ","57160","26-I-1","MCF","Non","26","70","","01/09/2018","22/02/2018","29/03/2018","Formation des enseignants en Mathématiques et épistémologie des sciences","AIX MARSEILLE",""
"0171463Y","UNIVERSITE DE LA ROCHELLE","4124 * ","","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Se référer au profil de poste.","Universite La Rochelle",""
"0310152X","INSA DE TOULOUSE","4067 * ","0185","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Modélisation, Calcul scientifiqueModelling (numerical, mathematical), computational science","135 avenue de Rangueil",""
"0311086M","UNIV. TOULOUSE 3 (IUT)","4508 * ","","33","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Mathématiques appliquées et applications des mathématiques","TOULOUSE","S"
"0333298F","UNIVERSITE DE BORDEAUX","309","0427","26-I-1","MCF","Non","26","","","01/09/2018","06/02/2018","08/03/2018","Mathématiques pour le signal et l'image","TALENCE",""
"0333298F","UNIVERSITE DE BORDEAUX","310","0091","26-I-1","MCF","Non","26","","","01/09/2018","06/02/2018","08/03/2018","Statistiques","TALENCE/BORDEAUX","S"
"0342321N","UNIVERSITE DE MONTPELLIER","259 * ","0092","26-I-1","MCF","Non","26","70","","01/09/2018","22/02/2018","29/03/2018","Didactique des mathématiques","Nimes",""
"0350097R","INSA DE RENNES","4057 * ","26MCF0048","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Recherche opérationnelle, Optimisation , Calcul scientifique","INSA DE RENNES",""
"0350937D","UNIVERSITE RENNES 2","4297 * ","0277","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Statistique","Rennes et Saint-Brieuc",""
"0440984F","UNIVERSITE DE NANTES","4455 * ","0106","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Analyse numérique des EDP","Nantes",""
"0490970N","UNIVERSITE D'ANGERS","4297 * ","MCF0126","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Statistique","ANGERS",""
"0593279U","UNIVERSITE DE VALENCIENNES","4185 * ","","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Statistiques et les probabilités appliquées dans le domaine des données massives","VALENCIENNES - LE MONT HOUY",""
"0597065J","UNIVERSITE DE LILLE","40 * ","","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Probabilités - Statistique","VILLENEUVE D'ASCQ",""
"0640251A","UNIVERSITE DE PAU","4187 * ","","33","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Le département de mathématiques et le LMAP recrutent un maître de conférence avec un profil recherche en contrôle, optimisation des formes et problèmes inverses.","Pau","S"
"0673021V","UNIVERSITE DE STRASBOURG","4492 * ","","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Probabilités","Strasbourg",""
"0720916E","UNIVERSITE DU MANS","4241 * ","SCI2605MCF0598","26-I-1","MCF","Non","26","5","","01/09/2018","22/02/2018","29/03/2018","Actuariat, mathématiques et économie appliquées à l¿assurance et la finance","LE MANS",""
"0750736T","UNIVERSITE PARIS-DAUPHINE","4214 * ","076","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Analyse numérique, analyse non linéaire et modélisation","Paris",""
"0750736T","UNIVERSITE PARIS-DAUPHINE","4215 * ","427","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Analyse non linéaire, analyse numérique et modélisation","Paris",""
"0751717J","UNIVERSITE PARIS 1 (PANTHEON-SORBONNE)","4460 * ","2866","26-I-1","MCF","Non","26","","","01/09/2018","22/02/2018","29/03/2018","Contrôle optimal, analyse fonctionnelle","UFR Mathematiques et Informatique",""
