"Rentrée";"Type";"UAI";"Etablissement";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2019";"Instituts et écoles extérieurs aux universités";"0690187D";"ECOLE CENTRALE DE LYON";3;3;70;33;0,029126213592233;0,0428571428571429
"2019";"Instituts et écoles extérieurs aux universités";"0690192J";"INSA DE LYON";4;5;281;131;0,00970873786407767;0,0177935943060498
"2019";"Instituts et écoles extérieurs aux universités";"0760165S";"INSA DE ROUEN";2;1;65;33;0,0204081632653061;0,0153846153846154
"2019";"Instituts et écoles extérieurs aux universités";"0900424X";"BELFORT-MONTBEL (UNIV TECHNO)";3;2;64;22;0,0348837209302326;0,03125
"2019";"Instituts et écoles extérieurs aux universités";"0930603A";"INST. SUP. MECANIQUE PARIS";1;0;21;10;0,032258064516129;0
"2019";"Université";"0060931E";"UNIVERSITE DE NICE (SOPHIA ANTIPOLIS)";23;8;573;369;0,024416135881104;0,0139616055846422
"2019";"Université";"0134009M";"UNIVERSITE AIX-MARSEILLE";36;26;1537;923;0,0146341463414634;0,0169160702667534
"2019";"Université";"0141408E";"UNIVERSITE DE CAEN";6;7;591;286;0,00684150513112885;0,011844331641286
"2019";"Université";"0171463Y";"UNIVERSITE DE LA ROCHELLE";3;2;170;68;0,0126050420168067;0,0117647058823529
"2019";"Université";"0211237F";"UNIVERSITE DE DIJON";3;6;573;337;0,0032967032967033;0,0104712041884817
"2019";"Université";"0251215K";"UNIVERSITE DE BESANCON";18;6;518;265;0,0229885057471264;0,0115830115830116
"2019";"Université";"0290346U";"UNIV. DE BRETAGNE OCCIDENTALE (BREST)";5;2;479;223;0,00712250712250712;0,00417536534446764
"2019";"Université";"0301687W";"UNIVERSITE DE NIMES";4;0;51;17;0,0588235294117647;0
"2019";"Université";"0311382J";"UNIVERSITE TOULOUSE 1";4;5;176;113;0,013840830449827;0,0284090909090909
"2019";"Université";"0311383K";"UNIVERSITE TOULOUSE 2";18;10;506;194;0,0257142857142857;0,0197628458498024
"2019";"Université";"0311384L";"UNIVERSITE TOULOUSE 3";11;6;910;539;0,00759144237405107;0,00659340659340659
"2019";"Université";"0331766R";"UNIVERSITE BORDEAUX MONTAIGNE";1;1;277;124;0,00249376558603491;0,0036101083032491
"2019";"Université";"0333298F";"UNIVERSITE DE BORDEAUX";9;9;931;604;0,00586319218241042;0,00966702470461869
"2019";"Université";"0341089Z";"UNIVERSITE MONTPELLIER 3 (PAUL VALERY)";10;13;293;143;0,0229357798165138;0,0443686006825939
"2019";"Université";"0342321N";"UNIVERSITE DE MONTPELLIER";24;7;815;546;0,017634092578986;0,00858895705521472
"2019";"Université";"0350936C";"UNIVERSITE RENNES 1";2;1;617;373;0,00202020202020202;0,00162074554294976
"2019";"Université";"0350937D";"UNIVERSITE RENNES 2";21;8;319;122;0,0476190476190476;0,0250783699059561
"2019";"Université";"0370800U";"UNIVERSITE DE TOURS";12;6;519;295;0,0147420147420147;0,0115606936416185
"2019";"Université";"0383493R";"UNIVERSITE GRENOBLE ALPES";29;18;1088;565;0,0175438596491228;0,0165441176470588
"2019";"Université";"0421095M";"UNIVERSITE DE SAINT-ETIENNE";9;8;311;178;0,0184049079754601;0,0257234726688103
"2019";"Université";"0440984F";"UNIVERSITE DE NANTES";14;7;759;423;0,011844331641286;0,00922266139657444
"2019";"Université";"0450855K";"UNIVERSITE D'ORLEANS";11;9;431;164;0,0184873949579832;0,0208816705336427
"2019";"Université";"0490970N";"UNIVERSITE D'ANGERS";15;3;361;215;0,0260416666666667;0,00831024930747922
"2019";"Université";"0511296G";"UNIVERSITE DE REIMS";16;9;532;271;0,0199252801992528;0,0169172932330827
"2019";"Université";"0561718N";"UNIVERSITE DE BRETAGNE SUD (LORIENT)";5;0;181;66;0,0202429149797571;0
"2019";"Université";"0593279U";"UNIVERSITE DE VALENCIENNES (UPHF)";12;9;262;105;0,0326975476839237;0,0343511450381679
"2019";"Université";"0595964M";"UNIVERSITE DU LITTORAL";3;11;231;74;0,00983606557377049;0,0476190476190476
"2019";"Université";"0597065J";"UNIVERSITE DE LILLE";8;0;1371;761;0,00375234521575985;0
