"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0060931E";"Université";"PR";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";6
"0060931E";"Université";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";3
"0060931E";"Université";"PR";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";2
"0060931E";"Université";"PR";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";4
"0060931E";"Université";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";5
"0060931E";"Université";"PR";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";5
"0060931E";"Université";"PR";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";16
"0060931E";"Université";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";14
"0060931E";"Université";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";26
"0060931E";"Université";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";5
"0060931E";"Université";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";3
"0060931E";"Université";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";4
"0060931E";"Université";"PR";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";5
"0060931E";"Université";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";6
"0060931E";"Université";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";1
"0060931E";"Université";"PR";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";5
"0060931E";"Université";"PR";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";6
"0060931E";"Université";"PR";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";6
"0060931E";"Université";"PR";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";5
"0060931E";"Université";"PR";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";3
"0060931E";"Université";"PR";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";5
"0060931E";"Université";"PR";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";4
"0060931E";"Université";"PR";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";4
"0060931E";"Université";"PR";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";8
"0060931E";"Université";"PR";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";7
"0060931E";"Université";"PR";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";8
"0060931E";"Université";"PR";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";7
"0060931E";"Université";"PR";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";6
"0060931E";"Université";"PR";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";7
"0060931E";"Université";"PR";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";5
"0060931E";"Université";"PR";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";8
"0060931E";"Université";"PR";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";4
"0060931E";"Université";"PR";56;"56-Développement, croissance et prévention";"Odontologie";"Odontologie";3
"0060931E";"Université";"PR";57;"57-Chirurgie orale  -  parondontologie  -  biologie orale";"Odontologie";"Odontologie";1
